log10_mh_msun,log10_epsilon_lower,log10_epsilon_mid,log10_epsilon_upper,log10_mstar_over_mh_lower,log10_mstar_over_mh_mid,log10_mstar_over_mh_upper
8.894031,-5.793833,-4.037945,-2.282056,-6.571117,-4.815228,-3.059340
8.899017,-5.788722,-4.034521,-2.280319,-6.566006,-4.811805,-3.057603
8.904003,-5.783571,-4.031078,-2.278586,-6.560854,-4.808362,-3.055869
8.908990,-5.778377,-4.027616,-2.276855,-6.555661,-4.804900,-3.054139
8.913976,-5.773143,-4.024135,-2.275128,-6.550427,-4.801419,-3.052411
8.918962,-5.767868,-4.020635,-2.273403,-6.545152,-4.797919,-3.050686
8.923949,-5.762553,-4.017116,-2.271680,-6.539837,-4.794400,-3.048963
8.928935,-5.757197,-4.013579,-2.269960,-6.534481,-4.790862,-3.047243
8.933921,-5.751802,-4.010022,-2.268242,-6.529086,-4.787305,-3.045525
8.938907,-5.746367,-4.006446,-2.266526,-6.523650,-4.783730,-3.043809
8.943894,-5.740893,-4.002852,-2.264811,-6.518176,-4.780135,-3.042095
8.948880,-5.735379,-3.999239,-2.263099,-6.512663,-4.776522,-3.040382
8.953866,-5.729827,-3.995607,-2.261387,-6.507111,-4.772891,-3.038671
8.958853,-5.724237,-3.991957,-2.259677,-6.501520,-4.769240,-3.036961
8.963839,-5.718608,-3.988288,-2.257968,-6.495891,-4.765572,-3.035252
8.968825,-5.712941,-3.984601,-2.256260,-6.490225,-4.761884,-3.033544
8.973812,-5.707236,-3.980895,-2.254553,-6.484520,-4.758178,-3.031837
8.978798,-5.701495,-3.977171,-2.252847,-6.478778,-4.754454,-3.030130
8.983784,-5.695716,-3.973428,-2.251141,-6.472999,-4.750712,-3.028424
8.988770,-5.689900,-3.969667,-2.249434,-6.467184,-4.746951,-3.026718
8.993757,-5.684048,-3.965888,-2.247729,-6.461331,-4.743172,-3.025012
8.998743,-5.678160,-3.962091,-2.246022,-6.455443,-4.739375,-3.023306
9.003729,-5.672235,-3.958276,-2.244316,-6.449519,-4.735559,-3.021600
9.008716,-5.666275,-3.954442,-2.242609,-6.443559,-4.731726,-3.019893
9.013702,-5.660279,-3.950591,-2.240902,-6.437563,-4.727874,-3.018186
9.018688,-5.654249,-3.946721,-2.239194,-6.431532,-4.724005,-3.016477
9.023674,-5.648183,-3.942834,-2.237484,-6.425467,-4.720117,-3.014768
9.028661,-5.642083,-3.938928,-2.235774,-6.419366,-4.716212,-3.013058
9.033647,-5.635948,-3.935005,-2.234062,-6.413232,-4.712289,-3.011346
9.038633,-5.629780,-3.931065,-2.232349,-6.407063,-4.708348,-3.009633
9.043620,-5.623578,-3.927106,-2.230634,-6.400861,-4.704389,-3.007918
9.048606,-5.617342,-3.923130,-2.228917,-6.394625,-4.700413,-3.006201
9.053592,-5.611073,-3.919136,-2.227199,-6.388357,-4.696419,-3.004482
9.058579,-5.604771,-3.915124,-2.225478,-6.382055,-4.692408,-3.002761
9.063565,-5.598437,-3.911095,-2.223754,-6.375720,-4.688379,-3.001038
9.068551,-5.592070,-3.907049,-2.222028,-6.369353,-4.684333,-2.999312
9.073537,-5.585671,-3.902985,-2.220300,-6.362955,-4.680269,-2.997583
9.078524,-5.579240,-3.898904,-2.218568,-6.356524,-4.676188,-2.995852
9.083510,-5.572778,-3.894806,-2.216833,-6.350062,-4.672089,-2.994117
9.088496,-5.566284,-3.890690,-2.215096,-6.343568,-4.667974,-2.992379
9.093483,-5.559760,-3.886557,-2.213354,-6.337044,-4.663841,-2.990638
9.098469,-5.553205,-3.882407,-2.211609,-6.330488,-4.659691,-2.988893
9.103455,-5.546619,-3.878240,-2.209861,-6.323903,-4.655524,-2.987144
9.108442,-5.540004,-3.874056,-2.208108,-6.317287,-4.651339,-2.985392
9.113428,-5.533358,-3.869855,-2.206351,-6.310642,-4.647138,-2.983635
9.118414,-5.526683,-3.865637,-2.204590,-6.303967,-4.642920,-2.981874
9.123400,-5.519978,-3.861402,-2.202825,-6.297262,-4.638685,-2.980109
9.128387,-5.513245,-3.857150,-2.201055,-6.290529,-4.634434,-2.978338
