bin_left	bin_right	bin_center	total_weighted_count	phi	frac_8_8	frac_8_9	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12
-27.00000000	-26.50000000	-26.75000000	3.461048523288e-09	6.922097046576e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-26.50000000	-26.00000000	-26.25000000	3.235407806839e-08	6.470815613677e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.362939882045e-02	9.663706011795e-01
-26.00000000	-25.50000000	-25.75000000	1.248891320042e-07	2.497782640083e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.830103470196e-01	6.169896529804e-01
-25.50000000	-25.00000000	-25.25000000	4.646257257907e-07	9.292514515813e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.936558698186e-01	6.063441301814e-01
-25.00000000	-24.50000000	-24.75000000	1.922803596852e-06	3.845607193704e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.396481143530e-02	4.049122590598e-01	5.711229295049e-01
-24.50000000	-24.00000000	-24.25000000	6.691935766463e-06	1.338387153293e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.336073992072e-02	4.900779400764e-01	4.765613200029e-01
-24.00000000	-23.50000000	-23.75000000	1.932008918421e-05	3.864017836842e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.133763565187e-02	7.222784566980e-01	2.263839076501e-01
-23.50000000	-23.00000000	-23.25000000	4.455328350055e-05	8.910656700111e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.343573989025e-04	1.200714136807e-01	8.269659276191e-01	5.272830130123e-02
-23.00000000	-22.50000000	-22.75000000	8.627808186940e-05	1.725561637388e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.711546456396e-03	3.426784085297e-01	6.481575589816e-01	7.452486032383e-03
-22.50000000	-22.00000000	-22.25000000	1.525378755641e-04	3.050757511282e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.197846116487e-03	6.923072173369e-01	3.033060135160e-01	1.889230306098e-04
-22.00000000	-21.50000000	-21.75000000	2.352933380397e-04	4.705866760795e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.066030599434e-02	9.020009249582e-01	7.733876904744e-02	0.000000000000e+00
-21.50000000	-21.00000000	-21.25000000	3.471359775525e-04	6.942719551050e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.124492074519e-04	1.051182939550e-01	8.846496555101e-01	9.919601327409e-03	0.000000000000e+00
-21.00000000	-20.50000000	-20.75000000	5.512831721581e-04	1.102566344316e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.027359895029e-04	3.846674298205e-01	6.148341656433e-01	1.956685467523e-04	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	8.755724652373e-04	1.751144930475e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.569020356183e-04	7.534685589044e-01	2.455673416612e-01	7.197398732015e-06	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	1.323769707429e-03	2.647539414858e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.599919712078e-03	9.373760225382e-01	5.502313540843e-02	9.223412678122e-07	0.000000000000e+00
-19.50000000	-19.00000000	-19.25000000	1.964056666748e-03	3.928113333496e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.129759606772e-02	9.438734000298e-01	4.829003902522e-03	0.000000000000e+00	0.000000000000e+00
-19.00000000	-18.50000000	-18.75000000	2.824335990384e-03	5.648671980768e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.645446113536e-05	2.547305957348e-01	7.450334248919e-01	1.495249122287e-04	0.000000000000e+00	0.000000000000e+00
-18.50000000	-18.00000000	-18.25000000	3.983617273228e-03	7.967234546456e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.958213777812e-04	6.289409297463e-01	3.708632488759e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-18.00000000	-17.50000000	-17.75000000	5.723845804161e-03	1.144769160832e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.156211421482e-03	8.944877866161e-01	1.043545221662e-01	1.479796246152e-06	0.000000000000e+00	0.000000000000e+00
-17.50000000	-17.00000000	-17.25000000	8.210248175207e-03	1.642049635041e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.840742864167e-02	9.665759323022e-01	1.501663905623e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.00000000	-16.50000000	-16.75000000	1.165278001104e-02	2.330556002208e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.259385298210e-01	8.731682371656e-01	8.932330134721e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.50000000	-16.00000000	-16.25000000	1.608083807027e-02	3.216167614054e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.336708969328e-01	5.662710213740e-01	5.808169321191e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.00000000	-15.50000000	-15.75000000	2.150471972659e-02	4.300943945318e-02	0.000000000000e+00	0.000000000000e+00	6.024726826386e-04	7.673349622204e-01	2.320569351311e-01	5.629965848721e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.50000000	-15.00000000	-15.25000000	2.780848937332e-02	5.561697874664e-02	0.000000000000e+00	0.000000000000e+00	4.988996110006e-03	9.368515458750e-01	5.815782171229e-02	1.636302700135e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
