bin_left	bin_right	bin_center	total_weighted_count	phi	frac_8_8	frac_8_9	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12
-25.00000000	-24.50000000	-24.75000000	4.156196004757e-09	8.312392009515e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-24.50000000	-24.00000000	-24.25000000	5.564862592513e-08	1.112972518503e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.650329027808e-01	8.349670972192e-01
-24.00000000	-23.50000000	-23.75000000	3.107834431188e-07	6.215668862376e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.947707516630e-01	6.052292483370e-01
-23.50000000	-23.00000000	-23.25000000	1.797003447427e-06	3.594006894853e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.999585407367e-02	3.990851239969e-01	5.809190219294e-01
-23.00000000	-22.50000000	-22.75000000	9.084343490340e-06	1.816868698068e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.535660065556e-02	5.120401172888e-01	4.526032820556e-01
-22.50000000	-22.00000000	-22.25000000	3.285313408231e-05	6.570626816461e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.493325141155e-02	7.825436652881e-01	1.525230833003e-01
-22.00000000	-21.50000000	-21.75000000	8.534766612548e-05	1.706953322510e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.733196421848e-03	2.363658722757e-01	7.434829338705e-01	1.841799743201e-02
-21.50000000	-21.00000000	-21.25000000	1.814187606747e-04	3.628375213494e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.585718442321e-03	6.518427306893e-01	3.440284260909e-01	5.431247775002e-04
-21.00000000	-20.50000000	-20.75000000	3.160043699880e-04	6.320087399760e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.760227587103e-02	9.083634891789e-01	6.403423495003e-02	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	5.370091022833e-04	1.074018204567e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.019749024796e-04	2.056461493273e-01	7.909933390257e-01	3.158536744490e-03	0.000000000000e+00
