bin_left	bin_right	bin_center	total_weighted_count	phi	frac_8_8	frac_8_9	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12
-27.50000000	-27.00000000	-27.25000000	1.130630870086e-15	2.261261740173e-15	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-27.00000000	-26.50000000	-26.75000000	5.446597374976e-13	1.089319474995e-12	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-26.50000000	-26.00000000	-26.25000000	9.443159797956e-12	1.888631959591e-11	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.617801178025e-01	7.382198821975e-01
-26.00000000	-25.50000000	-25.75000000	9.661880140528e-11	1.932376028106e-10	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.730516049117e-01	3.269483950883e-01
-25.50000000	-25.00000000	-25.25000000	6.130573805949e-10	1.226114761190e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.421484543102e-01	2.578515456898e-01
-25.00000000	-24.50000000	-24.75000000	3.687341422063e-09	7.374682844126e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.873729230714e-02	7.448038788777e-01	1.764588288152e-01
-24.50000000	-24.00000000	-24.25000000	1.844370456792e-08	3.688740913584e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.154933772193e-01	8.274165194589e-01	5.709010332174e-02
-24.00000000	-23.50000000	-23.75000000	7.791121747224e-08	1.558224349445e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.981704035699e-01	7.955313188418e-01	6.298277588317e-03
-23.50000000	-23.00000000	-23.25000000	2.625586526967e-07	5.251173053935e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.296699784684e-04	4.795194734335e-01	5.190387505172e-01	7.121060707564e-04
-23.00000000	-22.50000000	-22.75000000	7.429584416653e-07	1.485916883331e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.508499367242e-03	8.227964623341e-01	1.716229042360e-01	7.213406270298e-05
-22.50000000	-22.00000000	-22.25000000	1.697524580779e-06	3.395049161559e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.215773170635e-02	9.497872384042e-01	2.805475297652e-02	2.769129890489e-07
-22.00000000	-21.50000000	-21.75000000	3.679302827343e-06	7.358605654686e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.140818803987e-01	8.806933389080e-01	5.224780693373e-03	0.000000000000e+00
-21.50000000	-21.00000000	-21.25000000	8.512831799237e-06	1.702566359847e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.499586402519e-04	4.471170254074e-01	5.519538726018e-01	2.791433505627e-04	0.000000000000e+00
-21.00000000	-20.50000000	-20.75000000	1.808396744825e-05	3.616793489649e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.786157941077e-04	8.327454606714e-01	1.667739048405e-01	2.018693921625e-06	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	3.529181238280e-05	7.058362476559e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.794046931664e-03	9.658580646701e-01	2.934776551942e-02	1.228787513817e-07	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	6.769864721279e-05	1.353972944256e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.412115501076e-02	9.505391565685e-01	5.339688420714e-03	0.000000000000e+00	0.000000000000e+00
-19.50000000	-19.00000000	-19.25000000	1.206223288212e-04	2.412446576423e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.823704653687e-01	7.174628901296e-01	1.666445017329e-04	0.000000000000e+00	0.000000000000e+00
