bin_left	bin_right	bin_center	total_weighted_count	phi	frac_8_8	frac_8_9	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12
-22.00000000	-21.50000000	-21.75000000	3.413880783477e-05	6.827761566954e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.325105801800e-02	9.320249618270e-01	2.472398015503e-02	0.000000000000e+00
-21.50000000	-21.00000000	-21.25000000	6.267472115250e-05	1.253494423050e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.811432164385e-04	2.148541566452e-01	7.816540113632e-01	3.010688775145e-03	0.000000000000e+00
-21.00000000	-20.50000000	-20.75000000	1.172170880161e-04	2.344341760322e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.986679119416e-04	5.970794749902e-01	4.024868407455e-01	3.501635236377e-05	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	2.042704632071e-04	4.085409264141e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.335024534650e-03	8.897637589925e-01	1.078996771948e-01	1.539278097635e-06	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	3.446319435304e-04	6.892638870609e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.557045092047e-02	9.626733262524e-01	2.175622282716e-02	0.000000000000e+00	0.000000000000e+00
-19.50000000	-19.00000000	-19.25000000	5.612930190680e-04	1.122586038136e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.141602036686e-01	8.842811094284e-01	1.558686903002e-03	0.000000000000e+00	0.000000000000e+00
-19.00000000	-18.50000000	-18.75000000	8.745238723380e-04	1.749047744676e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.082919956682e-04	4.425281296593e-01	5.573309931186e-01	3.258522637737e-05	0.000000000000e+00	0.000000000000e+00
-18.50000000	-18.00000000	-18.25000000	1.365156737381e-03	2.730313474763e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.005295636912e-04	8.050310131357e-01	1.946674301936e-01	1.027107014997e-06	0.000000000000e+00	0.000000000000e+00
-18.00000000	-17.50000000	-17.75000000	2.122982212756e-03	4.245964425513e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.511836563556e-03	9.518611874256e-01	4.462697601086e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.50000000	-17.00000000	-17.25000000	3.292617759558e-03	6.585235519115e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.231824336190e-02	9.520170058536e-01	5.664750784432e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
