z	kind	Muv	our_phi	inst_phi	ratio
12.5	dust	-21.774436	2.904326031945e-07	1.550374727978e-06	1.873305839893e-01
12.5	dust	-21.729323	3.335460181131e-07	1.710378307846e-06	1.950130076972e-01
12.5	dust	-21.684211	3.830594257512e-07	1.886894763671e-06	2.030104874561e-01
12.5	dust	-21.639098	4.399228762704e-07	2.081628276527e-06	2.113359437086e-01
12.5	dust	-21.593985	5.052274505097e-07	2.296458904367e-06	2.200028267647e-01
12.5	dust	-21.548872	5.802261953563e-07	2.533460733078e-06	2.290251385311e-01
12.5	dust	-21.503759	6.663581668771e-07	2.794921900776e-06	2.384174551325e-01
12.5	dust	-21.458647	7.652760425460e-07	3.013565828122e-06	2.539436953408e-01
12.5	dust	-21.413534	8.762544236886e-07	3.237082073741e-06	2.706926805461e-01
12.5	dust	-21.368421	9.692114283466e-07	3.477176524351e-06	2.787351811330e-01
12.5	dust	-21.323308	1.072029729543e-06	3.735078785793e-06	2.870166309799e-01
12.5	dust	-21.278195	1.185755457903e-06	4.012109663798e-06	2.955441294644e-01
12.5	dust	-21.233083	1.296010943208e-06	4.301479428136e-06	3.012942325682e-01
12.5	dust	-21.187970	1.388665333052e-06	4.597089405750e-06	3.020749022882e-01
12.5	dust	-21.142857	1.487943768782e-06	4.913014547094e-06	3.028575947658e-01
12.5	dust	-21.097744	1.594319816563e-06	5.250650968364e-06	3.036423152422e-01
12.5	dust	-21.052632	1.708300898739e-06	5.611490730857e-06	3.044290689719e-01
12.5	dust	-21.007519	1.830430714287e-06	5.997128434592e-06	3.052178612232e-01
12.5	dust	-20.962406	1.961291832299e-06	6.409268265066e-06	3.060086972782e-01
12.5	dust	-20.917293	2.101508470885e-06	6.849731524279e-06	3.068015824322e-01
12.5	dust	-20.872180	2.251749474745e-06	7.320464679321e-06	3.075965219948e-01
12.5	dust	-20.827068	2.412731505612e-06	7.823547964068e-06	3.083935212890e-01
12.5	dust	-20.781955	2.585222460786e-06	8.361204572023e-06	3.091925856516e-01
12.5	dust	-20.736842	2.770045136065e-06	8.935810480910e-06	3.099937204334e-01
12.5	dust	-20.691729	2.968081150550e-06	9.549904952441e-06	3.107969309989e-01
12.5	dust	-20.646617	3.180275152037e-06	1.020620175366e-05	3.116022227266e-01
12.5	dust	-20.601504	3.407639323067e-06	1.090760114946e-05	3.124096010089e-01
12.5	dust	-20.556391	3.651258209112e-06	1.165720271922e-05	3.132190712522e-01
12.5	dust	-20.511278	3.912293891951e-06	1.245831905429e-05	3.140306388768e-01
12.5	dust	-20.466165	4.191991532891e-06	1.331449039680e-05	3.148443093173e-01
12.5	dust	-20.421053	4.491685312289e-06	1.422950028442e-05	3.156600880220e-01
12.5	dust	-20.375940	4.812804793696e-06	1.520739227038e-05	3.164779804537e-01
12.5	dust	-20.330827	5.158231904431e-06	1.623147464068e-05	3.177919455022e-01
12.5	dust	-20.285714	5.530409586246e-06	1.729422194697e-05	3.197836597220e-01
12.5	dust	-20.240602	5.929440699510e-06	1.842655207688e-05	3.217878567173e-01
12.5	dust	-20.195489	6.357262777867e-06	1.963302092938e-05	3.238046147221e-01
12.5	dust	-20.150376	6.815953152242e-06	2.091848269850e-05	3.258340124607e-01
12.5	dust	-20.105263	7.307739037515e-06	2.228810940413e-05	3.278761291508e-01
12.5	dust	-20.060150	7.835008346976e-06	2.374741170142e-05	3.299310445065e-01
12.5	dust	-20.015038	8.400321287070e-06	2.530226105281e-05	3.319988387416e-01
12.5	dust	-19.969925	9.006422788718e-06	2.695891335165e-05	3.340795925726e-01
12.5	dust	-19.924812	9.656255835595e-06	2.872403409264e-05	3.361733872218e-01
12.5	dust	-19.879699	1.035297575407e-05	3.060472519025e-05	3.382803044206e-01
12.5	dust	-19.834586	1.109996553417e-05	3.260855355309e-05	3.404004264127e-01
12.5	dust	-19.789474	1.190085225607e-05	3.474358152916e-05	3.425338359571e-01
12.5	dust	-19.744361	1.275952470166e-05	3.701839934445e-05	3.446806163317e-01
12.5	dust	-19.699248	1.368015223693e-05	3.944215966553e-05	3.468408513362e-01
12.5	dust	-19.654135	1.466720505672e-05	4.202461442499e-05	3.490146252954e-01
12.5	dust	-19.609023	1.572547589019e-05	4.477615405814e-05	3.512020230629e-01
12.5	dust	-19.563910	1.686010327234e-05	4.770784930856e-05	3.534031300237e-01
12.5	dust	-19.518797	1.807659649470e-05	5.083149577101e-05	3.556180320982e-01
12.5	dust	-19.473684	1.938086235617e-05	5.415966135063e-05	3.578468157453e-01
12.5	dust	-19.428571	2.072332616729e-05	5.754306361985e-05	3.601359549467e-01
12.5	dust	-19.383459	2.209289327637e-05	6.094736807489e-05	3.624913425175e-01
12.5	dust	-19.338346	2.355297259624e-05	6.455307454250e-05	3.648621349667e-01
12.5	dust	-19.293233	2.510954591505e-05	6.837209816460e-05	3.672484330464e-01
12.5	dust	-19.248120	2.676899034648e-05	7.241705899463e-05	3.696503381678e-01
12.5	dust	-19.203008	2.853810445615e-05	7.670132370089e-05	3.720679524051e-01
12.5	dust	-19.157895	3.042413611454e-05	8.123904973696e-05	3.745013785003e-01
12.5	dust	-19.112782	3.243481219078e-05	8.604523212533e-05	3.769507198672e-01
12.5	dust	-19.067669	3.457837020879e-05	9.113575300887e-05	3.794160805960e-01
12.5	dust	-19.022556	3.686359209553e-05	9.652743413366e-05	3.818975654578e-01
12.5	dust	-18.977444	3.929984015962e-05	1.022380924369e-04	3.843952799087e-01
12.5	dust	-18.932331	4.189709544771e-05	1.082865989234e-04	3.869093300948e-01
12.5	dust	-18.887218	4.466599863573e-05	1.146929410253e-04	3.894398228562e-01
12.5	dust	-18.842105	4.761789362266e-05	1.214782886507e-04	3.919868657319e-01
12.5	dust	-18.796992	5.076487400520e-05	1.286650641407e-04	3.945505669640e-01
12.5	dust	-18.751880	5.411983262395e-05	1.362770163642e-04	3.971310355029e-01
12.5	dust	-18.706767	5.769651438402e-05	1.443392991962e-04	3.997283810113e-01
12.5	dust	-18.661654	6.150957256643e-05	1.528785546404e-04	4.023427138692e-01
12.5	dust	-18.616541	6.557462886099e-05	1.619230008674e-04	4.049741451784e-01
12.5	dust	-18.571429	6.990833736672e-05	1.715025254625e-04	4.076227867676e-01
12.5	dust	-18.526316	7.432751194395e-05	1.812197039498e-04	4.101513815768e-01
12.5	dust	-18.481203	7.883323974843e-05	1.910781605218e-04	4.125706440399e-01
12.5	dust	-18.436090	8.361210441055e-05	2.014729228258e-04	4.150041764314e-01
12.5	dust	-18.390977	8.868066346468e-05	2.124331662035e-04	4.174520629219e-01
12.5	dust	-18.345865	9.405647816159e-05	2.239896531518e-04	4.199143881787e-01
12.5	dust	-18.300752	9.975817431367e-05	2.361748196654e-04	4.223912373682e-01
12.5	dust	-18.255639	1.058055068286e-04	2.490228662758e-04	4.248826961592e-01
12.5	dust	-18.210526	1.122194281548e-04	2.625698540432e-04	4.273888507260e-01
12.5	dust	-18.165414	1.190221608768e-04	2.768538057702e-04	4.299097877510e-01
12.5	dust	-18.120301	1.262372747099e-04	2.919148127220e-04	4.324455944281e-01
12.5	dust	-18.075188	1.338897681642e-04	3.077951471515e-04	4.349963584652e-01
12.5	dust	-18.030075	1.420061551571e-04	3.245393809469e-04	4.375621680879e-01
12.5	dust	-17.984962	1.506145568776e-04	3.421945107327e-04	4.401431120419e-01
12.5	dust	-17.939850	1.597447992190e-04	3.608100897769e-04	4.427392795965e-01
12.5	dust	-17.894737	1.694285161179e-04	3.804383670739e-04	4.453507605476e-01
12.5	dust	-17.849624	1.796992591574e-04	4.011344339937e-04	4.479776452207e-01
12.5	dust	-17.804511	1.905926138151e-04	4.229563789084e-04	4.506200244739e-01
12.5	dust	-17.759398	2.021463227573e-04	4.459654502315e-04	4.532779897016e-01
12.5	dust	-17.714286	2.144004166076e-04	4.702262283251e-04	4.559516328369e-01
12.5	dust	-17.669173	2.273973526430e-04	4.958068067607e-04	4.586410463556e-01
12.5	dust	-17.624060	2.403287302904e-04	5.213130197660e-04	4.610065760458e-01
12.5	dust	-17.578947	2.533308582375e-04	5.469948696262e-04	4.631320553530e-01
12.5	dust	-17.533835	2.670364198979e-04	5.739419044851e-04	4.652673342217e-01
