z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+08	-15.18310434	-15.00796720	-15.09553577	0.000000000000e+00
6.000000	1.000000e+08	-15.00796720	-14.83283005	-14.92039862	0.000000000000e+00
6.000000	1.000000e+08	-14.83283005	-14.65769291	-14.74526148	0.000000000000e+00
6.000000	1.000000e+08	-14.65769291	-14.48255577	-14.57012434	0.000000000000e+00
6.000000	1.000000e+08	-14.48255577	-14.30741863	-14.39498720	0.000000000000e+00
6.000000	1.000000e+08	-14.30741863	-14.13228148	-14.21985005	0.000000000000e+00
6.000000	1.000000e+08	-14.13228148	-13.95714434	-14.04471291	0.000000000000e+00
6.000000	1.000000e+08	-13.95714434	-13.78200720	-13.86957577	0.000000000000e+00
6.000000	1.000000e+08	-13.78200720	-13.60687006	-13.69443863	0.000000000000e+00
6.000000	1.000000e+08	-13.60687006	-13.43173291	-13.51930149	0.000000000000e+00
6.000000	1.000000e+08	-13.43173291	-13.25659577	-13.34416434	0.000000000000e+00
6.000000	1.000000e+08	-13.25659577	-13.08145863	-13.16902720	0.000000000000e+00
6.000000	1.000000e+08	-13.08145863	-12.90632149	-12.99389006	0.000000000000e+00
6.000000	1.000000e+08	-12.90632149	-12.73118434	-12.81875292	0.000000000000e+00
6.000000	1.000000e+08	-12.73118434	-12.55604720	-12.64361577	0.000000000000e+00
6.000000	1.000000e+08	-12.55604720	-12.38091006	-12.46847863	0.000000000000e+00
6.000000	1.000000e+08	-12.38091006	-12.20577292	-12.29334149	0.000000000000e+00
6.000000	1.000000e+08	-12.20577292	-12.03063578	-12.11820435	0.000000000000e+00
6.000000	1.000000e+08	-12.03063578	-11.85549863	-11.94306720	0.000000000000e+00
6.000000	1.000000e+08	-11.85549863	-11.68036149	-11.76793006	0.000000000000e+00
6.000000	1.000000e+08	-11.68036149	-11.50522435	-11.59279292	0.000000000000e+00
6.000000	1.000000e+08	-11.50522435	-11.33008721	-11.41765578	0.000000000000e+00
6.000000	1.000000e+08	-11.33008721	-11.15495006	-11.24251863	0.000000000000e+00
6.000000	1.000000e+08	-11.15495006	-10.97981292	-11.06738149	0.000000000000e+00
6.000000	1.000000e+08	-10.97981292	-10.80467578	-10.89224435	0.000000000000e+00
6.000000	1.000000e+08	-10.80467578	-10.62953864	-10.71710721	0.000000000000e+00
6.000000	1.000000e+08	-10.62953864	-10.45440149	-10.54197007	0.000000000000e+00
6.000000	1.000000e+08	-10.45440149	-10.27926435	-10.36683292	0.000000000000e+00
6.000000	1.000000e+08	-10.27926435	-10.10412721	-10.19169578	0.000000000000e+00
6.000000	1.000000e+08	-10.10412721	-9.92899007	-10.01655864	0.000000000000e+00
6.000000	1.000000e+08	-9.92899007	-9.75385292	-9.84142150	0.000000000000e+00
