bin_left	bin_right	bin_center	total_weighted_count	phi	frac_9_10	frac_10_11	frac_11_12	frac_12_13	frac_13_14	frac_14_15	frac_15_16
-19.00000000	-18.50000000	-18.75000000	2.680271292743e-05	5.360542585487e-05	0.000000000000e+00	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-18.50000000	-18.00000000	-18.25000000	5.305888258503e-05	1.061177651701e-04	6.099824215255e-03	9.939001757847e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-18.00000000	-17.50000000	-17.75000000	1.054136799007e-04	2.108273598014e-04	9.075917164487e-02	9.092408283551e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.50000000	-17.00000000	-17.25000000	1.976604756440e-04	3.953209512880e-04	4.740260603327e-01	5.259739396673e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.00000000	-16.50000000	-16.75000000	3.432854726681e-04	6.865709453361e-04	8.447846517948e-01	1.552153482052e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.50000000	-16.00000000	-16.25000000	5.919795074813e-04	1.183959014963e-03	9.627817140112e-01	3.721828598874e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.00000000	-15.50000000	-15.75000000	9.738931497683e-04	1.947786299537e-03	9.919744374698e-01	8.025562530246e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.50000000	-15.00000000	-15.25000000	1.388041545888e-03	2.776083091777e-03	9.993337553941e-01	6.662446059191e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.00000000	-14.50000000	-14.75000000	2.412409383444e-03	4.824818766888e-03	9.999564689059e-01	4.353109409389e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-14.50000000	-14.00000000	-14.25000000	4.214873610523e-03	8.429747221045e-03	9.999920666149e-01	7.933385084129e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-14.00000000	-13.50000000	-13.75000000	6.124067671309e-03	1.224813534262e-02	9.999996089746e-01	3.910254086639e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-13.50000000	-13.00000000	-13.25000000	7.551290420411e-03	1.510258084082e-02	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-13.00000000	-12.50000000	-12.75000000	6.118078053820e-03	1.223615610764e-02	9.999999999999e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-12.50000000	-12.00000000	-12.25000000	3.422027302900e-03	6.844054605799e-03	9.999999999998e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-12.00000000	-11.50000000	-11.75000000	1.650895786853e-03	3.301791573706e-03	9.999973387769e-01	2.661222870946e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-11.50000000	-11.00000000	-11.25000000	6.144492089752e-04	1.228898417950e-03	9.999999999998e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-11.00000000	-10.50000000	-10.75000000	1.955293963027e-04	3.910587926053e-04	9.999999999999e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
